====================================================== stateId: 0
 objectLocked           11                     Ljava/lang/Class;     
 objectUnlocked         11                     Ljava/lang/Class;     
 objectLocked           29                     Ljava/lang/Class;     
 objectUnlocked         29                     Ljava/lang/Class;     
 objectLocked           89                     Ljava/lang/Class;     
 objectUnlocked         89                     Ljava/lang/Class;     
 objectLocked           92                     Ljava/lang/Class;     
 objectUnlocked         92                     Ljava/lang/Class;     
 objectLocked           98                     Ljava/lang/Class;     
 objectUnlocked         98                     Ljava/lang/Class;     
 objectLocked           101                    Ljava/lang/Class;     
 objectUnlocked         101                    Ljava/lang/Class;     
 objectLocked           104                    Ljava/lang/Class;     
 objectUnlocked         104                    Ljava/lang/Class;     
 objectLocked           107                    Ljava/lang/Class;     
 objectUnlocked         107                    Ljava/lang/Class;     
 objectLocked           110                    Ljava/lang/Class;     
 objectUnlocked         110                    Ljava/lang/Class;     
 objectLocked           116                    Ljava/lang/Class;     
 objectUnlocked         116                    Ljava/lang/Class;     
 objectLocked           134                    Ljava/lang/Class;     
 objectUnlocked         134                    Ljava/lang/Class;     
 objectLocked           158                    Ljava/lang/Class;     
 objectLocked           219                    Ljava/lang/Class;     
 objectUnlocked         219                    Ljava/lang/Class;     
 objectLocked           222                    Ljava/lang/Class;     
 objectUnlocked         222                    Ljava/lang/Class;     
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           240                    Ljava/util/Propertie  
 objectUnlocked         240                    Ljava/util/Propertie  
 objectLocked           310                    Ljava/lang/Class;     
 objectLocked           313                    Ljava/lang/Class;     
 objectUnlocked         313                    Ljava/lang/Class;     
 objectUnlocked         310                    Ljava/lang/Class;     
 objectUnlocked         158                    Ljava/lang/Class;     
 objectLocked           1                      Ljava/lang/ThreadGro  
 objectUnlocked         1                      Ljava/lang/ThreadGro  
 objectLocked           326                    Ljava/lang/Class;     
 objectUnlocked         326                    Ljava/lang/Class;     
 objectLocked           1                      Ljava/lang/ThreadGro  
 objectUnlocked         1                      Ljava/lang/ThreadGro  
 threadStarted          1                      Thread-1              
====================================================== stateId: 1
 threadStarted          2                      Thread-2              
====================================================== stateId: 3
 objectLocked           0                      Ljava/lang/Thread;    
 objectNotifyAll        0                      Ljava/lang/Thread;    
 objectUnlocked         0                      Ljava/lang/Thread;    
 threadTerminated       0                      main                  
====================================================== stateId: 9
 objectLocked           320                    LEvent;               
 objectNotifyAll        320                    LEvent;               
 objectUnlocked         320                    LEvent;               
 objectLocked           321                    LEvent;               
 objectUnlocked         321                    LEvent;               
 objectWait             321                    LEvent;               
====================================================== stateId: 22
 objectLocked           320                    LEvent;               
 objectUnlocked         320                    LEvent;               
 objectWait             320                    LEvent;               
